#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c19-Potency_&#956;M","p450-cyp2c19-Curve_Description","p450-cyp2c19-Fit_LogAC50","p450-cyp2c19-Fit_HillSlope","p450-cyp2c19-Fit_R2","p450-cyp2c19-Fit_InfiniteActivity_%","p450-cyp2c19-Fit_ZeroActivity_%","p450-cyp2c19-Fit_CurveClass","p450-cyp2c19-Excluded_Points","p450-cyp2c19-Max_Response","p450-cyp2c19-Activity at 0.0007 uM_%","p450-cyp2c19-Activity at 0.00160 uM_%","p450-cyp2c19-Activity at 0.00368 uM_%","p450-cyp2c19-Activity at 0.00820 uM_%","p450-cyp2c19-Activity at 0.018 uM_%","p450-cyp2c19-Activity at 0.041 uM_%","p450-cyp2c19-Activity at 0.091 uM_%","p450-cyp2c19-Activity at 0.204 uM_%","p450-cyp2c19-Activity at 0.457 uM_%","p450-cyp2c19-Activity at 1.022 uM_%","p450-cyp2c19-Activity at 2.286 uM_%","p450-cyp2c19-Activity at 5.111 uM_%","p450-cyp2c19-Activity at 11.43 uM_%","p450-cyp2c19-Activity at 25.56 uM_%","p450-cyp2c19-Activity at 57.14 uM_%"
3407,14726321,2949736,"NCGC",,Unspecified,,,"",2009/07/08,2,87,4.46684,Complete curve; high efficacy,-5.35,1.21,0.993,-178.458,-21.2574,-1.1,0 0 0 0 0 0 0,-170.6596,,,-11.0647,,-27.6489,,-25.2464,,-33.0138,,-67.1943,,-142.542,,-170.66
3408,14726317,2131650,"NCGC",,Unspecified,,,"",2009/07/08,2,48,3.16228,Partial curve; high efficacy,-5.5,0.6,0.9433,-176.956,10.2721,-2.1,0 0 0 0 0 0 0,-144.829,,,13.2039,,9.619,,-38.4894,,-15.7393,,-72.0082,,-126.215,,-144.829
3409,14726316,709454,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,2.1876,0.9875,-161.876,-13.0989,-2.1,0 0 0 0 0 0 0,-154.2107,,,-20.0561,,-11.2004,,-20.942,,-4.6855,,-10.3984,,-73.0147,,-154.211
3410,14726309,2950250,"NCGC",,Unspecified,,,"",2009/07/08,2,45,7.07946,Partial curve; high efficacy,-5.15,1.331,0.9941,-174.553,-12.571,-2.1,0 0 0 0 0 0 0,-157.1184,,,-12.4077,,-9.8623,,-18.9689,,-13.2014,,-42.3275,,-121.911,,-157.118
3411,14726306,723583,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.1876,0.9133,-103.071,-2.9084,-2.1,1 0 0 0 0 0 0,-98.0108,,,-59.7069,,-11.0982,,-16.7548,,18.3245,,-2.4701,,-43.1953,,-98.0108
3412,14726295,690372,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.4729,0.9746,-78.7952,2.2645,-2.2,0 0 0 0 0 0 0,-76.2514,,,-5.3362,,-2.1645,,5.9504,,8.4588,,4.6857,,-28.6871,,-76.2514
3413,14726294,713068,"NCGC",,Unspecified,,,"",2009/07/08,2,43,10,Partial curve; high efficacy,-5,2.6384,0.9843,-142.997,8.9858,-2.1,0 0 0 0 0 0 0,-142.3095,,,-4.9537,,21.0688,,9.5807,,8.3144,,8.5387,,-78.0729,,-142.309
3414,14726209,718799,"NCGC",,Unspecified,,,"",2009/07/08,2,43,4.46684,Partial curve; partial efficacy,-5.35,1.3987,0.9625,-71.4332,18.9111,-2.2,0 0 0 0 0 0 0,-70.7036,,,20.6704,,8.3236,,17.0597,,28.4078,,-11.0229,,-48.6889,,-70.7036
3415,14726111,3231177,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,2.4064,0.9615,-100.031,9.5131,-2.1,0 0 0 0 0 0 0,-98.2238,,,13.9685,,20.6905,,-5.9465,,5.7741,,11.1261,,-37.3602,,-98.2238
3416,14726105,3230989,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.6604,0.9224,-115.643,-10.9068,-2.1,0 0 0 0 0 0 0,-105.9127,,,-26.1278,,-24.2039,,-11.6984,,3.1548,,-16.09,,-54.5558,,-105.913
3417,14726103,801165,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; high efficacy,-4.75,1.4641,0.9241,-113.456,-6.7602,-2.1,0 0 0 0 0 0 0,-99.2415,,,13.429,,-8.6568,,-11.7958,,-18.6648,,-15.2122,,-40.3634,,-99.2415
3418,14726090,3229130,"NCGC",,Unspecified,,,"",2009/07/08,2,85,4.46684,Complete curve; high efficacy,-5.35,2.3531,0.9862,-118.663,-4.4613,-1.1,1 0 0 0 0 0 0,-123.8478,,,-24.6484,,-3.9361,,-11.2005,,3.6172,,-28.0189,,-101.158,,-123.848
3419,14726089,1118272,"NCGC",,Unspecified,,,"",2009/07/08,2,88,2.81838,Complete curve; high efficacy,-5.55,1,0.9631,-155.973,-15.5722,-1.1,0 0 0 0 0 0 0,-147.6494,,,-32.6252,,-14.9142,,-1.3986,,-36.5039,,-82.3842,,-122.002,,-147.649
3420,14726088,3223830,"NCGC",,Unspecified,,,"",2009/07/08,2,87,2.81838,Complete curve; high efficacy,-5.55,0.9,0.9674,-139.921,-13.37,-1.1,1 0 0 0 0 0 0,-126.1881,,,-31.3786,,-5.0866,,-33.0829,,-27.265,,-70.2632,,-118.103,,-126.188
3421,14726082,3229317,"NCGC",,Unspecified,,,"",2009/07/08,2,43,11.2202,Partial curve; high efficacy,-4.95,2.2526,0.978,-143.173,-4.4361,-2.1,0 0 0 0 0 0 0,-140.2586,,,0.4352,,7.6112,,-18.9232,,-6.8378,,-8.4059,,-74.5766,,-140.259
3422,14726080,3227271,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.7529,0.9877,-94.7247,-0.1127,-2.1,0 0 0 0 0 0 0,-89.1925,,,1.2339,,6.9347,,-4.8611,,-4.2137,,-3.8321,,-49.6036,,-89.1925
3423,14726076,3212920,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.7885,0.9953,-120.513,2.4009,-2.1,1 0 1 0 0 0 0,-112.4319,,,-25.343,,-1.7458,,-41.1922,,7.6107,,-3.6498,,-53.8559,,-112.432
3424,14726071,878243,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.1,0.9955,-133.99,-5.7837,-2.1,0 0 0 0 0 0 0,-110.7373,,,-0.2146,,-8.0733,,-7.4088,,-10.9969,,-20.0375,,-63.3145,,-110.737
3425,14726066,3231375,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; high efficacy,-4.55,2.4064,0.9735,-124.572,-11.8578,-2.1,0 0 0 0 0 0 0,-107.2727,,,-13.0536,,-3.3888,,-23.1154,,-9.4814,,-11.429,,-22.8484,,-107.273
3426,14726064,1439003,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.23872,Complete curve; partial efficacy,-5.65,2.2526,0.9517,-61.128,17.697,-1.2,0 0 0 0 0 0 0,-60.94,,,26.0296,,16.3203,,1.4093,,24.0698,,-22.482,,-59.0779,,-60.94
3427,14726060,1451751,"NCGC",,Unspecified,,,"",2009/07/08,2,101,0.0501187,Complete curve; high efficacy,-7.3,0.9,0.9967,-153.135,10.571,-1.1,0 0 0 0 0 0 0,-157.0749,,,-3.3599,,-33.1763,,-98.0049,,-129.66,,-146.805,,-149.786,,-157.075
3428,14726049,1085672,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; high efficacy,-4.55,1.6436,0.942,-123.016,6.9546,-2.1,0 0 0 0 0 0 0,-92.8545,,,9.8463,,23.0558,,4.1088,,-0.0704,,-7.8176,,-12.9528,,-92.8545
3429,14726048,1082873,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.1,0.9932,-140.189,14.1767,-2.1,0 0 0 0 0 0 0,-122.7314,,,10.5362,,19.0356,,7.403,,14.5391,,-17.1402,,-71.9175,,-122.731
3430,14726047,828591,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.1,0.9932,-134.284,3.5951,-2.1,0 1 0 0 0 0 0,-111.9032,,,0.53,,-58.1208,,7.9332,,-0.1774,,-16.395,,-52.629,,-111.903
3431,14726046,1444048,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.21,0.9884,-109.863,6.7145,-2.1,0 0 0 0 0 0 0,-100.4118,,,5.2426,,1.0369,,7.719,,11.4964,,-20.5048,,-66.0916,,-100.412
3432,14726045,757551,"NCGC",,Unspecified,,,"",2009/07/08,2,86,3.98107,Complete curve; high efficacy,-5.4,1.3437,0.9933,-151.717,28.4488,-1.1,0 0 0 0 0 0 0,-147.0794,,,36.461,,23.1204,,18.7615,,26.9049,,-30.3143,,-115.543,,-147.079
3433,14726044,709844,"NCGC",,Unspecified,,,"",2009/07/08,2,86,0.794328,Complete curve; high efficacy,-6.1,1.3723,0.9909,-81.9626,13,-1.1,0 0 0 0 0 0 0,-85.7694,,,7.8808,,13.6349,,13.8383,,-20.7017,,-62.8752,,-75.195,,-85.7694
3434,14726036,3213522,"NCGC",,Unspecified,,,"",2009/07/08,2,83,3.16228,Complete curve; high efficacy,-5.5,3.132,0.9479,-78.9749,-9.8635,-1.1,0 0 0 0 0 0 0,-71.4632,,,-12.6783,,-20.5774,,-1.1484,,-5.7405,,-25.9245,,-86.0025,,-71.4632
3435,14726034,3209417,"NCGC",,Unspecified,,,"",2009/07/08,2,85,5.01187,Complete curve; high efficacy,-5.3,1.6436,0.9268,-130.383,-8.6524,-1.1,0 0 0 0 0 0 0,-128.4811,,,-1.8418,,-18.1439,,-28.1684,,15.7253,,-39.1467,,-103.783,,-128.481
3436,14726033,893225,"NCGC",,Unspecified,,,"",2009/07/08,2,100,0.0562341,Complete curve; high efficacy,-7.25,2.2526,0.9954,-147.186,-20.716,-1.1,0 0 0 0 0 0 0,-149.4901,,,-23.1782,,-27.9209,,-115.804,,-138.929,,-147.84,,-152.229,,-149.49
3437,14726032,3152644,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.4787,0.9655,-104.436,6.2307,-2.1,0 0 0 0 0 0 0,-95.9985,,,-6.0227,,11.4589,,0.8868,,17.2874,,-12.3476,,-68.9834,,-95.9985
3438,14726031,731826,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.2716,0.9317,-128.937,6.1608,-2.1,0 0 0 0 0 0 0,-97.1794,,,-4.3858,,26.0374,,7.1836,,4.3065,,-10.7024,,-26.0942,,-97.1794
3439,14726021,824053,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,3.0654,0.9484,-71.1683,18.1357,-2.2,1 0 0 0 0 0 0,-71.4813,,,31.8422,,3.6959,,17.2118,,21.7818,,29.2725,,-18.0395,,-71.4813
3440,14726020,1093252,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,4.095,0.9644,-90.3282,4.4437,-2.1,0 0 0 0 0 0 0,-91.4743,,,0.5063,,-4.0317,,6.9646,,19.6172,,-2.0311,,-63.351,,-91.4743
3441,14726006,1082794,"NCGC",,Unspecified,,,"",2009/07/08,2,44,7.94328,Partial curve; high efficacy,-5.1,1,0.998,-138.06,10.5984,-2.1,0 0 0 0 0 0 0,-120.0181,,,12.4616,,8.8963,,5.5577,,6.3257,,-23.4504,,-76.3811,,-120.018
3442,14725999,2961956,"NCGC",,Unspecified,,,"",2009/07/08,2,107,0.0141254,Complete curve; high efficacy,-7.85,1.331,0.9853,-166.243,17.5324,-1.1,0 0 0 0 0 0 0,-175.0614,,,0.2622,,-95.6627,,-139.572,,-162.711,,-168.145,,-168.378,,-175.061
3443,14725997,2943319,"NCGC",,Unspecified,,,"",2009/07/08,2,45,4.46684,Partial curve; high efficacy,-5.35,1.1341,0.9872,-138.764,7.1219,-2.1,1 0 0 0 0 0 0,-132.2543,,,-70.0064,,10.1832,,-2.9344,,6.8311,,-45.4317,,-97.894,,-132.254
3444,14725996,892463,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,0.9,0.9922,-143.573,-13.7285,-2.1,1 0 0 0 0 0 0,-115.1911,,,-34.6326,,-8.3234,,-18.7646,,-22.8379,,-32.2044,,-72.3556,,-115.191
3445,14725988,975496,"NCGC",,Unspecified,,,"",2009/07/08,2,65,0.794328,Complete curve; partial efficacy,-6.1,1.21,0.9811,-72.8279,14.8735,-1.2,0 0 0 0 0 0 0,-73.1899,,,6.7253,,24.2794,,6.8325,,-15.3192,,-54.7984,,-67.6253,,-73.1899
3446,14725795,2639815,"NCGC",,Unspecified,,,"",2009/07/08,2,42,17.7828,Partial curve; high efficacy,-4.75,1,0.9713,-177.279,-19.5589,-2.1,0 0 0 0 0 0 0,-142.1864,,,-9.0897,,-11.4241,,-31.491,,-31.7829,,-38.1991,,-79.022,,-142.186
3447,14725772,759315,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.4163,0.926,-89.202,-0.3074,-2.2,0 0 0 0 0 0 0,-78.2131,,,-9.4248,,14.8611,,-7.9199,,4.3889,,-10.438,,-34.7518,,-78.2131
3448,14724662,995281,"NCGC",,Unspecified,,,"",2009/07/08,2,44,6.30957,Partial curve; high efficacy,-5.2,0.5,0.9623,-131.712,20.8132,-2.1,0 0 0 0 0 0 0,-104.5038,,,15.5846,,21.6368,,-5.3994,,-10.3902,,-37.2485,,-54.443,,-104.504
3449,14724442,3124191,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.331,0.9841,-83.3628,16.5777,-2.2,0 0 0 0 0 0 0,-77.4229,,,10.691,,23.0482,,10.3158,,19.0935,,-4.6298,,-51.1873,,-77.4229
3450,14724170,3148114,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.41254,Complete curve; high efficacy,-5.85,0.9,0.9979,-110.033,2.7152,-1.1,1 0 0 0 0 0 0,-105.2699,,,-33.5913,,3.3366,,-9.0189,,-27.0328,,-64.5837,,-96.9165,,-105.27
3451,14724165,3127806,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.5579,0.9593,-138.037,2.2253,-2.1,0 0 0 0 0 0 0,-131.7202,,,-2.7236,,-16.1561,,12.1964,,16.6309,,-15.899,,-79.2793,,-131.72
3452,14724164,3089939,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,1.4641,0.9453,-78.5643,3.6999,-2.2,1 0 0 0 0 0 0,-72.4701,,,-21.7345,,13.5323,,-10.031,,7.5157,,-8.181,,-48.5836,,-72.4701
3453,14724163,864377,"NCGC",,Unspecified,,,"",2009/07/08,2,45,7.94328,Partial curve; high efficacy,-5.1,1.1,0.9451,-187.696,-32.6539,-2.1,0 0 0 0 0 0 0,-168.3303,,,-25.2409,,-17.8037,,-59.8556,,-40.8426,,-56.758,,-127.681,,-168.33
3454,14724158,1570011,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.23872,Complete curve; partial efficacy,-5.65,1,0.992,-77.3687,10.5,-1.2,0 0 0 0 0 0 0,-74.0742,,,5.1054,,15.5188,,5.8743,,-4.5814,,-33.4754,,-63.0326,,-74.0742
3455,14724155,856031,"NCGC",,Unspecified,,,"",2009/07/08,2,86,3.54813,Complete curve; high efficacy,-5.45,0.9,0.9783,-135.196,-2.6534,-1.1,0 0 0 0 0 0 0,-124.2723,,,-5.3942,,8.4001,,-20.3472,,-17.4713,,-56.2572,,-102.363,,-124.272
3456,14724147,3167975,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.4064,0.9685,-93.6834,-8.0623,-2.1,0 0 0 0 0 0 0,-91.2872,,,-19.6295,,-6.5945,,-8.811,,-5.7793,,-2.2123,,-38.6237,,-91.2872
3457,14724146,1164115,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,2.2526,0.9788,-114.367,-8.4515,-2.1,0 0 0 0 0 0 0,-110.3311,,,-9.0478,,-17.0336,,-11.2638,,2.3562,,-9.1049,,-56.8475,,-110.331
3458,14724135,3145649,"NCGC",,Unspecified,,,"",2009/07/08,2,44,10,Partial curve; high efficacy,-5,1.4787,0.989,-172.322,-6.6052,-2.1,0 0 0 0 0 0 0,-159.4267,,,-14.6507,,5.7023,,-9.0037,,-12.5113,,-21.9203,,-99.7554,,-159.427
3459,14724133,832425,"NCGC",,Unspecified,,,"",2009/07/08,2,44,8.91251,Partial curve; high efficacy,-5.05,1.21,0.9186,-172.851,-31.9384,-2.1,1 0 0 0 0 0 0,-155.1427,,,20.8919,,-33.1811,,-58.2177,,-14.931,,-57.1395,,-112.784,,-155.143
3460,14724132,746405,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,0.9,0.9626,-81.9014,8.5,-2.2,0 0 0 0 0 0 0,-66.6539,,,-1.707,,17.5136,,10.1191,,1.4407,,-9.8805,,-39.4998,,-66.6539
3461,14724131,81493,"NCGC",,Unspecified,,,"",2009/07/08,2,86,2.81838,Complete curve; high efficacy,-5.55,1.3723,0.9913,-132.792,19.0219,-1.1,0 0 0 0 0 0 0,-127.1452,,,25.0296,,24.154,,6.471,,5.7446,,-44.2916,,-117.857,,-127.145
3462,14724126,860305,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.2876,0.9923,-99.1385,-5.5058,-2.1,0 0 0 0 0 0 0,-95.4618,,,-2.6906,,-8.2544,,-9.1891,,-4.0422,,-33.4551,,-74.2709,,-95.4618
3463,14724124,718782,"NCGC",,Unspecified,,,"",2009/07/08,2,85,4.46684,Complete curve; high efficacy,-5.35,0.9,0.9816,-134.747,-20.1986,-1.1,0 0 0 0 0 0 0,-123.0453,,,-17.5754,,-15.4877,,-35.5623,,-31.3573,,-58.1784,,-102.698,,-123.045
3464,14724111,1102244,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,4.095,0.9745,-85.3241,-1.812,-2.1,0 0 0 0 0 0 0,-86.6501,,,-3.1199,,-4.7094,,-11.6013,,6.47,,2.7785,,-61.799,,-86.6501
3465,14724108,858850,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; high efficacy,-4.75,2.2526,0.9555,-110.323,5.8798,-2.1,0 0 0 0 0 0 0,-101.7353,,,12.8538,,9.2736,,-0.6682,,-9.2006,,15.86,,-25.8683,,-101.735
3466,14724107,790865,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.5095,0.9273,-71.9702,16.7954,-2.2,0 0 0 0 0 0 0,-63.8483,,,6.7593,,19.429,,19.9396,,29.1058,,0.9882,,-13.138,,-63.8483
3467,14724105,2862026,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,2.3531,0.9676,-70.3681,25.7937,-1.2,0 0 0 0 0 0 0,-71.7238,,,40.4226,,26.1686,,13.2528,,23.4146,,4.2246,,-60.7049,,-71.7238
3468,14724103,1409689,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.7202,0.9634,-71.9541,1.1814,-2.2,0 0 0 0 0 0 0,-70.3415,,,0.6435,,2.2485,,-9.7343,,5.4294,,6.0298,,-25.6998,,-70.3415
3469,14724100,2915733,"NCGC",,Unspecified,,,"",2009/07/08,2,44,7.07946,Partial curve; high efficacy,-5.15,1.5095,0.9397,-123.317,8.4547,-2.1,1 0 0 0 0 0 0,-119.2043,,,-30.5227,,19.2176,,-15.9288,,21.7076,,-14.7482,,-78.0668,,-119.204
3470,14724099,199391,"NCGC",,Unspecified,,,"",2009/07/08,2,90,1.99526,Complete curve; high efficacy,-5.7,0.9,0.9855,-177.845,16.6635,-1.1,0 0 0 0 0 0 0,-163.6332,,,19.5733,,3.4263,,21.5171,,-34.2084,,-83.872,,-147.256,,-163.633
3471,14724096,3145751,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.562341,Complete curve; high efficacy,-6.25,0.8,0.9963,-95.777,-19.001,-1.1,0 0 0 0 0 0 0,-94.5784,,,-22.9134,,-20.2366,,-33.7577,,-55.5089,,-76.4585,,-88.5894,,-94.5784
3472,14724093,3152148,"NCGC",,Unspecified,,,"",2009/07/08,2,62,7.94328,Complete curve; partial efficacy,-5.1,4.095,0.9462,-68.854,14.7603,-1.2,0 0 0 0 0 0 0,-69.045,,,13.6897,,-3.0544,,17.6287,,26.1607,,18.5782,,-53.6858,,-69.045
3473,14724092,138265,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.7202,0.9676,-77.9643,-18.885,-2.2,1 0 0 0 0 0 0,-76.3738,,,-72.6432,,-19.2067,,-17.1476,,-25.7432,,-12.9524,,-41.4416,,-76.3738
3474,14724088,602836,"NCGC",,Unspecified,,,"",2009/07/08,2,44,7.07946,Partial curve; high efficacy,-5.15,1.1,0.9922,-141.479,-10.2469,-2.1,0 0 0 0 0 0 0,-127.8406,,,-2.2601,,-15.2103,,-14.0933,,-18.2698,,-37.8233,,-94.7068,,-127.841
3475,14724079,2133924,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,1.6259,0.9751,-104.296,-5.4947,-1.1,0 0 0 0 0 0 0,-105.5467,,,-2.3141,,-19.104,,-1.5456,,-1.9551,,-39.6472,,-87.9284,,-105.547
3476,14724068,5750899,"NCGC",,Unspecified,,,"",2009/07/08,2,63,2.23872,Complete curve; partial efficacy,-5.65,1,0.9842,-66.7843,6.5,-1.2,0 0 0 0 0 0 0,-61.3491,,,2.8626,,10.3051,,0.343,,-1.767,,-34.0122,,-53.0955,,-61.3491
3477,14724066,1088127,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,2.2481,0.9664,-89.51,12.2456,-2.1,0 0 0 0 0 0 0,-85.724,,,8.6018,,1.5718,,13.9194,,25.5992,,9.2179,,-42.0363,,-85.724
3478,14724064,3149167,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,2.7202,0.9845,-77.4586,8,-2.2,0 0 0 0 0 0 0,-77.0159,,,-0.0555,,6.8157,,11.8801,,12.5895,,7.0243,,-34.4817,,-77.0159
3479,14724053,3093402,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,2.2481,0.9679,-99.759,7.1512,-2.1,0 0 0 0 0 0 0,-97.5343,,,-3.4725,,2.2213,,8.8711,,21.6528,,3.1025,,-54.3654,,-97.5343
3480,14724050,776566,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; high efficacy,-5.3,1.6436,0.9752,-82.3869,5.2371,-2.1,0 0 0 0 0 0 0,-82.2298,,,-3.694,,13.0292,,3.1696,,9.861,,-17.5203,,-61.724,,-82.2298
3481,14724044,1729567,"NCGC",,Unspecified,,,"",2009/07/08,2,88,2.23872,Complete curve; high efficacy,-5.65,1.1,0.9901,-139.188,18.1726,-1.1,0 0 0 0 0 0 0,-137.329,,,27.8766,,10.1221,,6.6661,,1.4472,,-63.3352,,-113.529,,-137.329
3482,14724043,813815,"NCGC",,Unspecified,,,"",2009/07/08,2,65,0.891251,Complete curve; partial efficacy,-6.05,1.5579,0.997,-73.6732,-11.3361,-1.2,1 0 0 0 0 0 0,-72.5933,,,-35.1055,,-9.502,,-15.5836,,-27.5711,,-61.7195,,-73.8391,,-72.5933
3483,14724041,2267038,"NCGC",,Unspecified,,,"",2009/07/08,2,83,6.30957,Complete curve; high efficacy,-5.2,2.6384,0.9338,-91.0042,-6.8012,-1.1,0 0 0 0 0 0 0,-93.2758,,,-17.577,,-13.1468,,-1.8343,,11.3582,,-19.6901,,-72.9424,,-93.2758
3484,14724037,3095236,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,1.4781,0.9814,-84.6543,11,-2.2,0 0 0 0 0 0 0,-78.4619,,,14.3409,,1.1341,,16.3221,,11.1688,,0.7368,,-40.3998,,-78.4619
3485,14724031,2246718,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.7137,0.9688,-127.663,-28.4708,-2.1,0 0 0 0 0 0 0,-119.1681,,,-28.4896,,-37.9118,,-30.6607,,-16.9084,,-32.7996,,-69.2036,,-119.168
3486,14724027,3212517,"NCGC",,Unspecified,,,"",2009/07/08,2,40,28.1838,Partial curve; high efficacy,-4.55,1.4787,0.9386,-132.261,-16.7977,-2.1,0 0 0 0 0 0 0,-102.3383,,,-11.757,,-7.7853,,-32.4578,,-12.1946,,-24.208,,-40.6526,,-102.338
3487,14724023,3109471,"NCGC",,Unspecified,,,"",2009/07/08,2,86,3.16228,Complete curve; high efficacy,-5.5,1.6259,0.9899,-123.227,0,-1.1,0 0 0 0 0 0 0,-123.867,,,0.8813,,-10.14,,6.4607,,-1.4688,,-48.0859,,-106.843,,-123.867
3488,14724021,9549469,"NCGC",,Unspecified,,,"",2009/07/08,2,43,11.2202,Partial curve; high efficacy,-4.95,2.2481,0.9772,-139.477,7.7548,-2.1,0 0 0 0 0 0 0,-135.6175,,,13.6331,,-8.5963,,6.3378,,19.4793,,3.0113,,-66.8049,,-135.617
3489,14724018,735606,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0562341,Complete curve; high efficacy,-7.25,1.4641,0.9894,-98.1983,-0.6809,-1.1,0 0 0 0 0 0 0,-103.8334,,,-4.8159,,-13.7122,,-68.3529,,-86.387,,-96.5351,,-99.9166,,-103.833
3490,14723995,2865926,"NCGC",,Unspecified,,,"",2009/07/08,2,44,6.30957,Partial curve; high efficacy,-5.2,1.1,0.9974,-115.253,12.7032,-2.1,0 0 0 0 0 0 0,-104.614,,,16.3685,,12.0471,,7.3222,,7.5728,,-20.0131,,-71.2045,,-104.614
3491,14723915,692199,"NCGC",,Unspecified,,,"",2009/07/08,2,41,19.9526,Partial curve; high efficacy,-4.7,1.9673,0.9254,-171.264,-5.0287,-2.1,0 0 0 0 0 0 0,-151.8,,,-23.2409,,-14.0015,,-16.8414,,13.9659,,15.8222,,-51.2491,,-151.8
3492,14723914,2754632,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.5936,0.9716,-131.637,6.1127,-2.1,0 1 0 0 0 0 0,-102.5655,,,0.0095,,107.491,,19.6894,,2.7822,,-3.1667,,-23.5364,,-102.565
3493,14723912,324932,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; high efficacy,-4.6,1.3437,0.978,-120.875,8.847,-2.1,0 0 0 0 0 0 0,-91.5138,,,5.283,,19.0735,,6.0369,,10.1137,,-2.8342,,-21.9034,,-91.5138
3494,14723910,2147601,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.62341,Partial curve; partial efficacy,-5.25,0.9,0.9691,-82.0099,-5.6424,-2.2,0 0 0 0 0 0 0,-75.3722,,,-13.9665,,-1.0047,,-1.6498,,-14.4878,,-30.8285,,-52.7505,,-75.3722
