#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
2498,14727305,3226033,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.54813,Complete curve; high efficacy,-5.45,4.095,0.977,-121.147,1.4247,-1.1,0 0 0 0 0 0 0,-127.076,,,15.3988,,-8.0593,,7.3391,,-7.584,,-17.9469,,-113.918,,-127.076
2499,14727299,3212968,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; high efficacy,-4.8,1.8265,0.9767,-100.859,8.1107,-2.1,0 0 0 0 0 0 0,-93.0614,,,11.6983,,15.0808,,8.6994,,3.9062,,-5.331,,-26.5297,,-93.0614
2500,14727295,1450658,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.331,0.9907,-129.796,-7.0836,-2.1,0 0 0 0 0 0 0,-117.51,,,0.5501,,-8.864,,-8.4803,,-14.8373,,-21.5256,,-80.7585,,-117.51
2501,14727294,1428044,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,0.9,0.9821,-104.285,7.1061,-1.1,0 0 0 0 0 0 0,-95.1033,,,14.2215,,-2.9155,,6.7782,,-12.0648,,-33.0548,,-78.3733,,-95.1033
2502,14727293,3212634,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.07946,Partial curve; partial efficacy,-5.15,1.1,0.984,-76.1321,3.2291,-2.2,0 0 0 0 0 0 0,-68.4087,,,2.4287,,-0.6235,,1.7739,,7.009,,-17.7279,,-46.694,,-68.4087
2503,14727290,1450067,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1.4781,0.9736,-117.098,6.1787,-2.1,0 0 0 0 0 0 0,-107.879,,,15.6937,,12.6121,,-1.3922,,-0.7023,,-7.7059,,-41.7253,,-107.879
2504,14727286,1451589,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.41254,Complete curve; high efficacy,-5.85,1.8265,0.9553,-97.7434,-8.1836,-1.1,0 0 0 0 0 0 0,-97.2232,,,-7.2888,,5.0712,,-26.3855,,-14.7989,,-73.074,,-95.4659,,-97.2232
2505,14727285,3231584,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.21,0.9363,-91.5289,-5.8327,-2.1,0 0 0 0 0 0 0,-81.8302,,,-19.7425,,-6.0208,,6.4965,,-4.7233,,-20.3996,,-52.1081,,-81.8302
2506,14727262,3158817,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.4787,0.9629,-66.1751,6.1192,-2.2,0 0 0 0 0 0 0,-61.5946,,,16.0215,,1.8018,,-1.6928,,7.6226,,-7.378,,-46.248,,-61.5946
2507,14727260,2192756,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,3.9295,0.9842,-80.1715,4.4708,-2.2,0 0 0 0 0 0 0,-79.7505,,,-3.2915,,10.8331,,6.5261,,6.937,,1.8252,,-49.4559,,-79.7505
2508,14727247,1113642,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.7885,0.984,-117.973,12.0485,-2.1,0 0 0 0 0 0 0,-113.371,,,20.5014,,7.9797,,18.8753,,0.6501,,2.7492,,-67.273,,-113.371
2509,14727241,3225915,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.8617,0.9938,-87.7145,-9.9863,-2.1,0 0 0 0 0 0 0,-82.5991,,,-9.1027,,-6.5694,,-9.5376,,-14.0833,,-13.1902,,-41.3326,,-82.5991
2510,14727239,1113641,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; high efficacy,-4.95,3.132,0.957,-82.3887,-6.1965,-2.1,1 0 0 0 0 0 0,-81.321,,,-29.6364,,-17.2615,,-9.0869,,-0.0258,,0.6442,,-46.1535,,-81.321
2511,14727233,1093845,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.1,0.9296,-96.1465,-1.5369,-2.1,0 0 0 0 0 0 0,-88.6606,,,-3.0433,,-9.8421,,-6.6501,,13.8019,,-30.0365,,-57.9883,,-88.6606
2512,14727227,3157897,"NCGC",,Unspecified,,,"",2009/07/08,2,44,5.01187,Partial curve; high efficacy,-5.3,0.9,0.9802,-118.853,5.2585,-2.1,1 0 0 0 0 0 0,-104.887,,,-43.0563,,11.9678,,-3.4454,,-14.1454,,-27.6413,,-83.2465,,-104.887
2513,14727218,1091766,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.94328,Partial curve; high efficacy,-5.1,1.1,0.9879,-119.393,9.9713,-2.1,0 0 0 0 0 0 0,-105.207,,,5.8647,,19.4341,,9.1153,,-1.6695,,-13.8178,,-69.141,,-105.207
2514,14727217,3157896,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,3.132,0.9522,-105.01,10.4577,-2.1,0 0 0 0 0 0 0,-102.759,,,6.7225,,-4.5592,,10.0503,,13.0824,,27.9613,,-41.9613,,-102.759
2515,14727199,828252,"NCGC",,Unspecified,,,"",2009/07/08,2,40,25.1189,Partial curve; partial efficacy,-4.6,1.3987,0.948,-90.029,7.3029,-2.2,0 0 0 0 0 0 0,-68.0289,,,15.2032,,15.9133,,-2.2794,,2.9247,,0.4396,,-15.8178,,-68.0289
2516,14727198,3225382,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,2.9523,0.9602,-103.269,-3.5741,-1.1,0 0 0 0 0 0 0,-105.913,,,0.1203,,13.2238,,-16.9866,,-10.9357,,-24.3969,,-97.9061,,-105.913
2517,14727194,974132,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1,0.9705,-95.3139,-0.2431,-2.2,0 0 0 0 0 0 0,-79.4283,,,1.5639,,8.0029,,-9.2539,,-3.0647,,-16.2656,,-40.4352,,-79.4283
2518,14727179,3225147,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.81838,Complete curve; high efficacy,-5.55,2.2526,0.9878,-95.5519,-12.4454,-1.1,0 0 0 0 0 0 0,-97.4271,,,-10.3199,,-21.0155,,-12.3791,,-8.8206,,-43.5415,,-91.0141,,-97.4271
2519,14727178,1091610,"NCGC",,Unspecified,,,"",2009/07/08,2,42,14.1254,Partial curve; high efficacy,-4.85,1,0.9766,-124.325,-3.7285,-2.1,0 0 0 0 0 0 0,-101.385,,,-9.6885,,-7.1888,,5.1433,,-3.7977,,-26.7246,,-54.8098,,-101.385
2520,14727173,3129653,"NCGC",,Unspecified,,,"",2009/07/08,2,40,19.9526,Partial curve; high efficacy,-4.7,1.7137,0.954,-90.9648,-24.4027,-2.1,0 0 0 0 0 0 0,-81.008,,,-24.8648,,-30.028,,-29.138,,-18.4563,,-19.6904,,-43.852,,-81.008
2521,14727166,3132854,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,0.9,0.9488,-136.952,1.7983,-2.1,0 0 0 0 0 0 0,-110.131,,,9.7591,,6.0149,,-19.4536,,5.0095,,-26.0808,,-61.1646,,-110.131
2522,14727157,1078211,"NCGC",,Unspecified,,,"",2009/07/08,2,43,8.91251,Partial curve; high efficacy,-5.05,1.3443,0.9892,-110.03,3.8941,-2.1,0 0 0 0 0 0 0,-101.89,,,7.4884,,9.3691,,-3.9502,,-1.7371,,-10.3911,,-62.3322,,-101.89
2523,14727150,1095461,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; partial efficacy,-4.95,0.6,0.9285,-95.6681,3.8206,-2.2,0 0 0 0 0 0 0,-72.4905,,,14.3039,,-11.9058,,0.2506,,-11.9397,,-20.9093,,-43.4177,,-72.4905
2524,14727147,3225118,"NCGC",,Unspecified,,,"",2009/07/08,2,44,8.91251,Partial curve; high efficacy,-5.05,0.7,0.9781,-173.081,4.2586,-2.1,0 0 0 0 0 0 0,-132.405,,,2.4571,,9.5492,,-5.9079,,-26.7835,,-33.5534,,-99.0109,,-132.405
2525,14727135,1091748,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.41254,Complete curve; high efficacy,-5.85,1.4641,0.9767,-99.7354,-22.0354,-1.1,0 0 0 0 0 0 0,-99.1295,,,-25.3689,,-11.9295,,-31.4145,,-33.3922,,-74.4296,,-96.4648,,-99.1295
2526,14727133,1462267,"NCGC",,Unspecified,,,"",2009/07/08,2,62,6.30957,Complete curve; partial efficacy,-5.2,2.6384,0.961,-77.9487,-8.2317,-1.2,0 0 0 0 0 0 0,-79.4419,,,-4.4058,,-2.5341,,-18.7036,,-2.7007,,-18.6816,,-63.6774,,-79.4419
2527,14727112,3155148,"NCGC",,Unspecified,,,"",2009/07/08,2,40,17.7828,Partial curve; partial efficacy,-4.75,1.8265,0.959,-72.3263,-4.9524,-2.2,0 0 0 0 0 0 0,-66.0656,,,3.4583,,-2.5879,,-9.2872,,-11.1714,,-7.338,,-25.0389,,-66.0656
2528,14727081,3131058,"NCGC",,Unspecified,,,"",2009/07/08,2,89,1.12202,Complete curve; high efficacy,-5.95,1.6259,0.9895,-126.096,15.4681,-1.1,0 0 0 0 0 0 0,-131.505,,,23.1763,,3.3986,,16.0109,,-11.1571,,-91.8425,,-116.638,,-131.505
2529,14727074,3100210,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; partial efficacy,-4.95,0.8,0.9887,-99.6056,26.6006,-2.2,0 0 0 0 0 0 0,-73.9568,,,34.6172,,24.9208,,20.8294,,12.9105,,0.4999,,-36.6993,,-73.9568
2530,14727071,1096252,"NCGC",,Unspecified,,,"",2009/07/08,2,44,4.46684,Partial curve; high efficacy,-5.35,1.031,0.9762,-106.415,6.967,-2.1,0 0 0 0 0 0 0,-98.3555,,,17.761,,4.9946,,-7.0982,,-2.61,,-28.3769,,-77.4059,,-98.3555
2531,14727057,2932804,"NCGC",,Unspecified,,,"",2009/07/08,2,83,4.46684,Complete curve; high efficacy,-5.35,1.7137,0.9609,-85.4155,-8.6634,-1.1,0 0 0 0 0 0 0,-84.4089,,,-5.7181,,-21.9334,,-0.6569,,-6.733,,-28.4165,,-71.947,,-84.4089
2532,14726715,3158430,"NCGC",,Unspecified,,,"",2009/07/08,2,85,4.46684,Complete curve; high efficacy,-5.35,3.2975,0.9481,-124.59,-13.7408,-1.1,0 0 0 0 0 0 0,-129.017,,,-27.7538,,8.3917,,-18.3786,,-24.5464,,-26.4721,,-115.649,,-129.017
2533,14726702,585328,"NCGC",,Unspecified,,,"",2009/07/08,2,43,5.01187,Partial curve; partial efficacy,-5.3,0.9,0.9531,-83.1426,12.3602,-2.2,0 1 0 0 0 0 0,-73.3357,,,4.3982,,30.7731,,23.868,,-4.9612,,-18.6365,,-53.3047,,-73.3357
2534,14726691,1147018,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.4163,0.9971,-106.211,-5.19,-2.1,0 0 0 0 0 0 0,-96.3027,,,-6.9609,,-2.7815,,-4.543,,-6.273,,-14.6663,,-47.3525,,-96.3027
2535,14726446,1088529,"NCGC",,Unspecified,,,"",2009/07/08,2,83,8.91251,Complete curve; high efficacy,-5.05,4.5045,0.9726,-109.618,-4.0733,-1.1,0 0 0 0 0 0 0,-109.775,,,-2.4972,,-7.7393,,-18.1162,,0.4725,,6.6043,,-83.4044,,-109.775
2536,14726440,1454561,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,2.7202,0.9958,-61.3662,-13.2657,-2.2,0 0 0 0 0 0 0,-60.9807,,,-12.8809,,-13.1577,,-13.6156,,-15.4499,,-11.9276,,-33.8234,,-60.9807
2537,14726438,1088487,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; partial efficacy,-5.2,1.21,0.9901,-86.1341,6.4976,-2.2,0 0 0 0 0 0 0,-79.2744,,,10.773,,6.4823,,-0.6721,,5.8503,,-15.8833,,-56.5966,,-79.2744
2538,14726437,1449293,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,1.2221,0.9524,-78.0222,-2.6371,-2.2,0 0 0 0 0 0 0,-67.1018,,,-12.7115,,-2.1142,,4.2691,,0.5593,,-12.977,,-34.0822,,-67.1018
2539,14726423,9549594,"NCGC",,Unspecified,,,"",2009/07/08,2,41,17.7828,Partial curve; high efficacy,-4.75,1.9673,0.9915,-94.784,0.8821,-2.1,0 0 0 0 0 0 0,-86.3883,,,1.3998,,4.791,,-4.69,,-0.0356,,2.0242,,-26.7505,,-86.3883
2540,14726409,1114207,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.3332,0.9564,-63.4692,-5.1102,-2.2,0 0 0 0 0 0 0,-60.8995,,,-12.3274,,-1.9514,,0.2027,,-8.8448,,-1.3358,,-28.4983,,-60.8995
2541,14726407,3157311,"NCGC",,Unspecified,,,"",2009/07/08,2,41,8.91251,Partial curve; partial efficacy,-5.05,4.9549,0.9861,-67.0637,6.5,-2.2,0 0 0 0 0 0 0,-67.1364,,,11.1839,,9.9243,,5.4223,,-0.6972,,6.3622,,-49.8806,,-67.1364
2542,14726391,9549591,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.8473,0.9539,-83.2915,-31.609,-2.1,0 0 0 0 0 0 0,-82.1259,,,-34.6964,,-32.7004,,-31.7037,,-35.8495,,-23.0876,,-50.9819,,-82.1259
2543,14726376,3146028,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; partial efficacy,-4.85,2.7202,0.9297,-79.0357,-2.4165,-2.2,1 0 0 0 0 0 0,-77.6336,,,24.0748,,6.5312,,-3.825,,-17.42,,3.1744,,-29.0776,,-77.6336
2544,14726371,3230943,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,2.4064,0.9993,-105.472,16.1228,-2.1,0 0 0 0 0 0 0,-102.325,,,17.1036,,14.7705,,16.6003,,15.3963,,14.2346,,-48.207,,-102.325
2545,14726349,713367,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,1.2475,0.9929,-100.546,16.8152,-2.1,0 0 0 0 0 0 0,-87.4044,,,17.671,,15.6585,,21.0807,,7.9039,,3.7869,,-42.1427,,-87.4044
2546,14726326,1092650,"NCGC",,Unspecified,,,"",2009/07/08,2,41,19.9526,Partial curve; high efficacy,-4.7,1,0.9012,-110.401,22.9148,-2.1,0 0 0 0 0 0 0,-81.9503,,,38.6542,,26.0665,,25.4873,,-5.5831,,9.6817,,-19.666,,-81.9503
2547,14726321,2949736,"NCGC",,Unspecified,,,"",2009/07/08,2,43,7.07946,Partial curve; high efficacy,-5.15,1.1,0.9824,-110.835,3.8852,-2.1,0 0 0 0 0 0 0,-101.15,,,9.8555,,-3.2819,,-1.8101,,6.1865,,-25.9626,,-66.2893,,-101.15
2548,14726317,2131650,"NCGC",,Unspecified,,,"",2009/07/08,2,40,22.3872,Partial curve; high efficacy,-4.65,2.4064,0.9253,-103.75,4.6837,-2.1,0 0 0 0 0 0 0,-93.2886,,,-1.3519,,10.9764,,-5.4674,,-4.1929,,23.8049,,-15.6746,,-93.2886
2549,14726306,723583,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,3.132,0.9511,-94.2744,-3.0873,-2.1,0 0 0 0 0 0 0,-93.1408,,,-12.5824,,9.768,,-13.3227,,-0.6827,,1.6132,,-50.9832,,-93.1408
2550,14726294,713068,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,2.1211,0.9867,-88.9416,9,-2.1,0 0 0 0 0 0 0,-84.0119,,,5.9207,,3.1734,,14.7147,,14.0551,,6.2822,,-29.14,,-84.0119
2551,14726209,718799,"NCGC",,Unspecified,,,"",2009/07/08,2,44,2.81838,Partial curve; partial efficacy,-5.55,0.9,0.9956,-79.7211,25.4731,-2.2,0 0 0 0 0 0 0,-71.4418,,,25.4387,,28.3788,,17.3883,,6.6565,,-20.0301,,-58.7743,,-71.4418
2552,14726106,3220716,"NCGC",,Unspecified,,,"",2009/07/08,2,41,14.1254,Partial curve; high efficacy,-4.85,1.5579,0.9822,-93.7067,-2.9273,-2.1,0 1 0 0 0 0 0,-84.3086,,,-4.1908,,-39.1104,,-7.7578,,4.9643,,-10.2851,,-40.6183,,-84.3086
2553,14726090,3229130,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.98107,Complete curve; high efficacy,-5.4,1,0.9881,-122.135,6.1692,-1.1,0 0 0 0 0 0 0,-113.089,,,5.2116,,4.8533,,10.2948,,-16.1487,,-34.722,,-92.022,,-113.089
2554,14726089,1118272,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.2475,0.9927,-105.151,14.9425,-1.1,0 0 0 0 0 0 0,-101.116,,,10.1265,,23.4049,,10.1382,,4.5915,,-32.8259,,-85.5304,,-101.116
2555,14726088,3223830,"NCGC",,Unspecified,,,"",2009/07/08,2,42,12.5893,Partial curve; high efficacy,-4.9,1.2216,0.9009,-108.105,6.3664,-2.1,0 0 0 0 0 0 0,-94.9102,,,20.8431,,18.921,,-18.1486,,-1.3225,,-4.226,,-46.7483,,-94.9102
2556,14726082,3229317,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.98107,Complete curve; high efficacy,-5.4,1.1341,0.9751,-124.358,5.4915,-1.1,1 0 0 0 0 0 0,-119.077,,,-39.9559,,-6.6815,,18.2113,,-8.1669,,-38.0565,,-94.2477,,-119.077
2557,14726081,3190586,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.16228,Complete curve; partial efficacy,-5.5,2.4064,0.9167,-66.0748,-28.3747,-1.2,1 0 0 0 0 0 0,-66.6735,,,-54.1807,,-37.8448,,-25.0549,,-22.0067,,-41.1591,,-63.5964,,-66.6735
2558,14726080,3227271,"NCGC",,Unspecified,,,"",2009/07/08,2,83,5.62341,Complete curve; high efficacy,-5.25,1.5386,0.9614,-92.2895,-5.0219,-1.1,0 0 0 0 0 0 0,-90.0603,,,5.1583,,-17.9571,,-8.0459,,-1.6119,,-22.7534,,-70.0447,,-90.0603
2559,14726072,3157861,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.3723,0.9777,-76.9727,3.2222,-2.2,0 0 0 0 0 0 0,-67.2921,,,5.5055,,8.2634,,4.7294,,-3.8031,,-5.5887,,-25.6338,,-67.2921
2560,14726069,890055,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; high efficacy,-4.9,1.9887,0.9842,-85.024,-14.9216,-2.1,0 0 0 0 0 0 0,-81.4151,,,-14.3367,,-21.1732,,-10.2546,,-14.7803,,-15.6387,,-47.5515,,-81.4151
2561,14726064,1439003,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.54813,Complete curve; high efficacy,-5.45,1.4781,0.9903,-103.295,3.899,-1.1,0 0 0 0 0 0 0,-100.933,,,-2.8733,,10.4669,,6.979,,-4.9744,,-30.6627,,-88.0194,,-100.933
2562,14726060,1451751,"NCGC",,Unspecified,,,"",2009/07/08,2,88,1.99526,Complete curve; high efficacy,-5.7,0.6,0.9852,-137.889,5.0367,-1.1,0 0 0 0 0 0 0,-117.531,,,8.3877,,-10.8146,,-15.252,,-34.7736,,-64.1072,,-109.06,,-117.531
2563,14726055,2947603,"NCGC",,Unspecified,,,"",2009/07/08,2,61,8.91251,Complete curve; partial efficacy,-5.05,4.9549,0.9497,-69.4569,-5.6237,-1.2,0 0 0 0 0 0 0,-69.5989,,,-16.2477,,0.5652,,1.6382,,-11.704,,-3.5683,,-54.6483,,-69.5989
2564,14726045,757551,"NCGC",,Unspecified,,,"",2009/07/08,2,42,8.91251,Partial curve; high efficacy,-5.05,2.6384,0.9892,-97.0645,14.1153,-2.1,0 0 0 0 0 0 0,-97.5509,,,19.3236,,20.0765,,12.4884,,6.4968,,8.4921,,-56.7967,,-97.5509
2565,14726044,709844,"NCGC",,Unspecified,,,"",2009/07/08,2,44,1.12202,Partial curve; partial efficacy,-5.95,0.8,0.956,-63.1808,23.1315,-2.2,0 0 0 0 0 0 0,-66.4737,,,24.4027,,14.0394,,17.7372,,-2.7101,,-40.2181,,-39.4986,,-66.4737
2566,14726034,3209417,"NCGC",,Unspecified,,,"",2009/07/08,2,63,1.99526,Complete curve; partial efficacy,-5.7,1.4641,0.9987,-64.7765,24.5959,-1.2,0 0 0 0 0 0 0,-64.7871,,,25.8524,,24.8183,,21.7462,,16.7428,,-26.0793,,-56.6403,,-64.7871
2567,14726033,893225,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.501187,Complete curve; high efficacy,-6.3,0.9,0.9943,-108.605,10.3522,-1.1,0 0 0 0 0 0 0,-108.237,,,6.7877,,3.6999,,-5.1621,,-52.0242,,-80.1717,,-102.314,,-108.237
2568,14726032,3152644,"NCGC",,Unspecified,,,"",2009/07/08,2,43,6.30957,Partial curve; high efficacy,-5.2,1,0.9982,-107.622,-3.6366,-2.1,0 0 0 0 0 0 0,-97.2901,,,-5.9673,,-3.5523,,-3.9582,,-8.7456,,-33.4194,,-70.1895,,-97.2901
2569,14726031,731826,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; partial efficacy,-5,0.6,0.9205,-83.7812,-24.3162,-2.2,0 0 0 0 0 1 0,-68.3965,,,-24.3435,,-21.3423,,-36.2167,,-27.1107,,-42.9856,,-7.1992,,-68.3965
2570,14725999,2961956,"NCGC",,Unspecified,,,"",2009/07/08,2,92,0.354813,Complete curve; high efficacy,-6.45,2.4064,0.995,-130.688,-57.8422,-1.1,0 0 0 0 0 0 0,-133.888,,,-60.6938,,-55.6293,,-59.2532,,-105.499,,-126.111,,-130.803,,-133.888
2571,14725997,2943319,"NCGC",,Unspecified,,,"",2009/07/08,2,41,19.9526,Partial curve; high efficacy,-4.7,1.4641,0.9307,-102.492,-10.325,-2.1,0 0 0 0 0 0 0,-89.0674,,,-8.4446,,-6.0419,,-23.7985,,-1.2893,,-22.6382,,-36.8545,,-89.0674
2572,14725996,892463,"NCGC",,Unspecified,,,"",2009/07/08,2,83,8.91251,Complete curve; high efficacy,-5.05,4.9549,0.9933,-118.894,-28.9114,-1.1,0 0 0 0 0 0 0,-119.035,,,-33.8048,,-25.6284,,-29.0533,,-31.7921,,-24.5526,,-98.7071,,-119.035
2573,14725988,975496,"NCGC",,Unspecified,,,"",2009/07/08,2,84,2.81838,Complete curve; high efficacy,-5.55,1.5095,0.998,-84.9452,0.8132,-1.1,0 0 0 0 0 0 0,-84.8238,,,2.0446,,0.7271,,-2.6597,,-2.1296,,-35.5077,,-74.7239,,-84.8238
2574,14725795,2639815,"NCGC",,Unspecified,,,"",2009/07/08,2,88,1.58489,Complete curve; high efficacy,-5.8,0.8,0.9957,-130.001,19.4553,-1.1,0 0 0 0 0 0 0,-119.915,,,16.696,,19.0513,,0.298,,-18.0583,,-62.6507,,-108.899,,-119.915
2575,14724442,3124191,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,3.5722,0.9288,-61.4448,-9.167,-2.2,1 0 0 0 0 0 0,-62.4355,,,-32.107,,-20.8072,,-10.155,,-8.8134,,-2.6576,,-39.8414,,-62.4355
2576,14724169,3148306,"NCGC",,Unspecified,,,"",2009/07/08,2,64,1.99526,Complete curve; partial efficacy,-5.7,4.4495,0.9311,-78.4163,5.5142,-1.2,0 0 0 0 0 0 0,-78.7148,,,-11.4985,,-2.6894,,21.5441,,15.9899,,-51.7334,,-76.1517,,-78.7148
2577,14724163,864377,"NCGC",,Unspecified,,,"",2009/07/08,2,41,11.2202,Partial curve; partial efficacy,-4.95,3.132,0.9793,-61.7215,7,-2.2,0 0 0 0 0 0 0,-61.3361,,,7.3013,,12.4819,,3.26,,0.9416,,9.8329,,-28.2879,,-61.3361
2578,14724159,1147951,"NCGC",,Unspecified,,,"",2009/07/08,2,41,15.8489,Partial curve; partial efficacy,-4.8,1.4163,0.9769,-69.238,5.5,-2.2,0 0 0 0 0 0 0,-60.6909,,,4.808,,1.3544,,7.1133,,11.1318,,-3.3797,,-20.6379,,-60.6909
2579,14724158,1570011,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1.21,0.9362,-84.8501,-14.0038,-1.1,1 0 0 0 0 0 0,-82.7917,,,-30.1238,,-27.7302,,-5.2042,,-22.8883,,-41.0028,,-72.865,,-82.7917
2580,14724155,856031,"NCGC",,Unspecified,,,"",2009/07/08,2,42,10,Partial curve; high efficacy,-5,1.7529,0.9699,-103.24,1.0996,-2.1,0 0 0 0 0 0 0,-98.8624,,,11.102,,5.6685,,-11.5367,,-2.8519,,-5.8647,,-56.8373,,-98.8624
2581,14724139,698980,"NCGC",,Unspecified,,,"",2009/07/08,2,42,11.2202,Partial curve; high efficacy,-4.95,0.7,0.9006,-113.696,4.2518,-2.1,0 0 0 0 0 0 0,-86.3319,,,19.964,,-17.0795,,-1.4801,,1.1298,,-30.2935,,-51.5295,,-86.3319
2582,14724135,3145649,"NCGC",,Unspecified,,,"",2009/07/08,2,44,8.91251,Partial curve; high efficacy,-5.05,0.9,0.9915,-147.37,-2.4817,-2.1,0 0 0 0 0 0 0,-123.842,,,-0.5333,,-5.1093,,0.2425,,-19.9407,,-31.5075,,-84.6987,,-123.842
2583,14724126,860305,"NCGC",,Unspecified,,,"",2009/07/08,2,84,2.81838,Complete curve; high efficacy,-5.55,1.8851,0.9087,-94.6958,-5.5482,-1.1,0 0 0 0 0 0 0,-102.031,,,-2.5502,,-27.2097,,-1.9264,,8.9338,,-47.2708,,-79.0002,,-102.031
2584,14724120,1206525,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,0.7,0.9862,-94.9714,-10.007,-2.2,0 0 0 0 0 0 0,-73.7286,,,-9.7552,,-8.7583,,-11.1621,,-23.4412,,-27.0044,,-50.3699,,-73.7286
