#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2d6-Potency_&#956;M","p450-cyp2d6-Curve_Description","p450-cyp2d6-Fit_LogAC50","p450-cyp2d6-Fit_HillSlope","p450-cyp2d6-Fit_R2","p450-cyp2d6-Fit_InfiniteActivity_%","p450-cyp2d6-Fit_ZeroActivity_%","p450-cyp2d6-Fit_CurveClass","p450-cyp2d6-Excluded_Points","p450-cyp2d6-Max_Response_%","p450-cyp2d6-Activity at 0.0007 uM_%","p450-cyp2d6-Activity at 0.00160 uM_%","p450-cyp2d6-Activity at 0.00368 uM_%","p450-cyp2d6-Activity at 0.00820 uM_%","p450-cyp2d6-Activity at 0.018 uM_%","p450-cyp2d6-Activity at 0.041 uM_%","p450-cyp2d6-Activity at 0.091 uM_%","p450-cyp2d6-Activity at 0.204 uM_%","p450-cyp2d6-Activity at 0.457 uM_%","p450-cyp2d6-Activity at 1.022 uM_%","p450-cyp2d6-Activity at 2.286 uM_%","p450-cyp2d6-Activity at 5.111 uM_%","p450-cyp2d6-Activity at 11.43 uM_%","p450-cyp2d6-Activity at 25.56 uM_%","p450-cyp2d6-Activity at 57.14 uM_%"
1327,11112629,688469,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,1.6924,0.9765,-78.99,7,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-77.02,1.155,6.64,,10.7,5.81,3.948,,11.95,12.54,-3.199,-16.56,-31.37,-66.01,-77.02,
1328,11112619,688420,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.0158489,Complete curve; high efficacy,-7.8,0.8,0.9853,-92.1294,13.8021,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-92.7,13.47,-12.26,,-21.34,-43.02,-56.02,,-80.77,-88.2,-89.02,-89.38,-90.6,-91.2,-92.7,
1329,11112618,26987,"NCGC",,Unspecified,,,"",2009/07/08,2,86,0.794328,Complete curve; high efficacy,-6.1,1.1,0.9869,-87.3806,4.6926,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-87.24,5.006,-3.887,,5.398,1.991,8.909,,-9.955,-29.68,-51.07,-60.22,-73.71,-86.25,-87.24,
1330,11112612,203685,"NCGC",,Unspecified,,,"",2009/07/08,2,62,6.30957,Complete curve; partial efficacy,-5.2,2.2526,0.9496,-80.469,4.9715,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-74.51,-6.782,-2.926,,4.199,9.792,6.215,,-0.0114,16.06,4.78,6.106,-31.39,-62.42,-74.51,
1331,11112611,6604342,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.158489,Complete curve; high efficacy,-6.8,1.3723,0.9925,-94.7346,4.1748,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-97.1,6.29,-4.052,,5.647,5.185,-11.1,,-56.55,-77.16,-84.74,-88.27,-93.44,-98.08,-97.1,
1332,11112606,4822,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.4781,0.9675,-79.941,4.0125,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-76.18,-4.905,-4.258,,6.64,13.57,6.096,,2.36,6.582,-11.06,-19.72,-44.08,-65.28,-76.18,
1333,11112600,2448,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.2475,0.9881,-83.1012,3.2452,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-76.13,-2.917,1.822,,4.906,6.237,8.966,,-0.7079,-1.582,-9.998,-28.69,-43.47,-65.5,-76.13,
1334,11112599,4011,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.1705,0.9872,-88.16,1.9,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-77.05,1.066,-0.5036,,8.95,2.438,-2.075,,1.69,-9.97,-12.29,-30.29,-49.15,-72.1,-77.05,
1335,11112589,165002,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.0630957,Complete curve; high efficacy,-7.2,0.7,0.9832,-83.4387,15.7077,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-82.86,15.34,-1.194,,1.645,-8.969,-29.68,,-54.29,-65.59,-70.73,-69.23,-76.5,-86,-82.86,
1336,11112586,6604329,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.501187,Complete curve; high efficacy,-6.3,1.3437,0.9872,-91.4337,4.0986,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.75,4.595,-3.244,,1.986,4.434,7.485,,-12.44,-47.15,-64.92,-74.17,-84.51,-94.98,-93.75,
1337,11112582,1152279,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0316228,Complete curve; high efficacy,-7.5,0.9,0.9953,-90.2342,5.4521,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.38,2.099,-1.791,,-12.2,-33.02,-49.78,,-74.73,-80.94,-82.58,-85.6,-88.82,-92.78,-93.38,
1338,11112580,25295,"NCGC",,Unspecified,,,"",2009/07/08,2,93,0.0199526,Complete curve; high efficacy,-7.7,0.7,0.9947,-83.1878,13.8499,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-85.75,6.762,-1.363,,-17.5,-32.37,-46.7,,-69.64,-71.46,-76.73,-75.41,-81,-86.24,-85.75,
1339,11112578,6604328,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.630957,Complete curve; high efficacy,-6.2,0.9,0.9953,-90.5876,4.3925,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-86.65,5.501,2.797,,3.822,0.0021,-5.164,,-16.5,-41.9,-53.62,-67.1,-75.93,-82.14,-86.65,
1340,11112575,4633,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.8851,0.9634,-83.546,5.539,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-76.77,-4.951,0.3565,,2.325,6.771,5.219,,11.62,12.45,6.87,-2.228,-37.44,-57.03,-76.77,
1341,11112574,3646,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,2.1876,0.9482,-75.9335,7.6658,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-76.48,1.69,-1.674,,3.366,3.096,6.052,,12.67,25.73,4.252,-15.17,-39.15,-69.82,-76.48,
1342,11112558,716528,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,2.4064,0.8939,-69.129,9.5,-2.2,1 0 0 0 0 0 0 0 0 0 0 0,-64.63,-11.44,-3.644,,3.185,0.6072,4.967,,18.95,21.1,9.341,20.59,-14.35,-42.73,-64.63,
1343,11112555,441975,"NCGC",,Unspecified,,,"",2009/07/08,2,95,0.00794328,Complete curve; high efficacy,-8.1,1.0641,0.9961,-88.8458,9.0905,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.99,2.045,-5.705,,-39.6,-61.64,-75,,-83.95,-83.63,-87.36,-86.62,-88.97,-92.05,-91.99,
1344,11112554,441975,"NCGC",,Unspecified,,,"",2009/07/08,2,98,0.00199526,Complete curve; high efficacy,-8.7,1.7885,0.979,-88.554,-10.967,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.95,-15.52,-48.86,,-81.85,-85.6,-87.1,,-87.82,-87.65,-88.19,-86.17,-90.11,-89.48,-93.95,
1345,11112549,19675,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.199526,Complete curve; high efficacy,-6.7,0.9,0.9914,-90.764,5.2205,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.47,1.002,4.029,,4.121,-2.823,-14.12,,-44.18,-65.85,-74.51,-75.68,-79.88,-91,-91.47,
1346,11112543,3354,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,1.5579,0.9843,-79.5806,4.2057,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-66.66,2.672,1.587,,8.242,2.077,3.886,,9.226,4.237,-4.23,-2.39,-25.02,-50.39,-66.66,
1347,11112541,6077,"NCGC",,Unspecified,,,"",2009/07/08,2,64,2.51189,Complete curve; partial efficacy,-5.6,1.4787,0.9932,-81.2277,-0.0154,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-76.85,2.349,-1.997,,-3.811,-0.7985,3.304,,1.236,-7.838,-16.63,-42.14,-59.43,-74.03,-76.85,
1348,11112540,5474706,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.630957,Complete curve; high efficacy,-6.2,0.7,0.987,-93.5527,2.2793,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-84.86,-4.545,0.2479,,2.347,-7.707,-4.227,,-29.8,-42.67,-56.5,-61.44,-70.9,-81.49,-84.86,
1349,11112534,3926,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,1.8617,0.9694,-80.651,0.7517,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-77.83,-3.832,-5.994,,-2.515,0.2314,7.137,,5.376,3.313,2.553,-22.15,-34.72,-68.25,-77.83,
1350,11112531,3055,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.125893,Complete curve; high efficacy,-6.9,1.111,0.9973,-89.6179,8.041,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-92.69,7.822,5.021,,2.237,2.813,-15.05,,-52.68,-71.75,-78.72,-84.41,-87.8,-89.63,-92.69,
1351,11112528,3634,"NCGC",,Unspecified,,,"",2009/07/08,2,62,5.01187,Complete curve; partial efficacy,-5.3,2.4064,0.9456,-65.513,5.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-62.14,-1.034,-1.343,,11.85,-2.983,9.951,,18.41,2.695,5.933,-7.069,-28.6,-59.82,-62.14,
1352,11112524,6857,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.6604,0.9766,-97.427,8.9871,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-85.54,10.61,10.12,,1.839,5.533,12.39,,15.73,-9.977,-9.688,-52.99,-80.9,-90,-85.54,
1353,11112523,6604311,"NCGC",,Unspecified,,,"",2009/07/08,2,94,0.0251189,Complete curve; high efficacy,-7.6,1.1,0.9947,-93.4515,-1.2245,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.49,0.0148,-9.004,,-18.84,-43.67,-60.24,,-83.94,-88.86,-90.57,-90.09,-92.74,-97.23,-94.49,
1354,11112519,2200,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1.331,0.9783,-93.799,5.0585,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-86.18,2.177,-2.801,,1.708,5.03,11.76,,12.65,-2.894,-24.34,-44.59,-63.26,-83.52,-86.18,
1355,11112514,1548976,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.630957,Complete curve; high efficacy,-6.2,0.9,0.9889,-88.3317,-3.3957,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-83.92,-5.84,-7.522,,-4.773,-1.367,-8.957,,-31.72,-33.08,-55.24,-67.45,-75.34,-83.85,-83.92,
1356,11112513,6604308,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.3437,0.9738,-85.9734,-0.9173,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.36,-0.8769,2.274,,3.813,3.161,-4.592,,-7.386,-13.73,-5.43,-30.45,-50.15,-73.64,-75.36,
1357,11112508,16363,"NCGC",,Unspecified,,,"",2009/07/08,2,62,6.30957,Complete curve; partial efficacy,-5.2,1.7137,0.9842,-72.5532,1.4068,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-64.55,1.759,-5.832,,1.476,1.281,6.382,,0.0587,3.908,-2.656,-9.68,-29.48,-55.39,-64.55,
1358,11112507,16362,"NCGC",,Unspecified,,,"",2009/07/08,2,85,3.16228,Complete curve; high efficacy,-5.5,1.2221,0.9817,-104.353,5.2264,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.8,-5.406,7.442,,9.563,1.575,9.728,,9.483,-8.088,-22.1,-36.04,-64.01,-88.31,-94.8,
1359,11112506,2794,"NCGC",,Unspecified,,,"",2009/07/08,2,84,2.51189,Complete curve; high efficacy,-5.6,2.0479,0.9769,-80.2779,0.4637,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-75.35,-0.8759,-8.523,,-3.07,2.037,3.139,,6.783,3.408,-13.75,-38.73,-60.57,-83.58,-75.35,
1360,11112503,5393145,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.251189,Complete curve; high efficacy,-6.6,1.4787,0.9932,-84.1734,-1.1469,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.73,-1.499,-5.466,,-0.7035,-0.8009,-3.374,,-39.4,-62.2,-71.75,-77.2,-80.18,-86.19,-88.73,
1361,11112501,3396,"NCGC",,Unspecified,,,"",2009/07/08,2,87,1.58489,Complete curve; high efficacy,-5.8,0.6,0.971,-110.154,9.2085,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.5,7.838,5.351,,8.817,7.208,-5.251,,-21.72,-41.6,-41.1,-44.88,-65.69,-88.24,-93.5,
1362,11112495,688437,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.99526,Complete curve; partial efficacy,-5.7,0.8,0.9803,-92.014,2.39,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-79.92,-2.779,1.071,,6.18,-1.204,0.8567,,-5.316,-27.53,-35.24,-43.85,-57.31,-78.82,-79.92,
1363,11112494,6546955,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.251189,Complete curve; high efficacy,-6.6,0.7,0.9925,-86.3601,7.6361,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-81.21,5.009,1.944,,3.279,0.3922,-16.12,,-40.32,-45.24,-61.13,-69.88,-75.94,-82.27,-81.21,
1364,11112492,6604302,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.316228,Complete curve; high efficacy,-6.5,0.7,0.9965,-96.8062,6.0662,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-90.2,8.476,2.955,,-6.471,-4.632,-11.66,,-36.71,-53.57,-66.16,-76.37,-83.47,-89.94,-90.2,
1365,11112490,207838,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.58489,Complete curve; high efficacy,-5.8,0.8,0.9934,-89.7583,2.7092,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-81.95,3.867,1.793,,2.594,1.462,-0.4385,,-19,-19.28,-37.47,-49.84,-62.53,-77.05,-81.95,
1366,11112488,206530,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.6924,0.9781,-80.8029,2.7909,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.01,5.745,-1.896,,7.324,3.893,-3.106,,0.0759,9.172,-8.357,-21.11,-43.58,-74.16,-75.01,
1367,11112478,11220655,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.99526,Complete curve; high efficacy,-5.7,1.21,0.991,-97.4726,4.7877,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.79,0.3468,3.206,,5.259,0.9353,5.456,,4.925,-13.25,-22.13,-50.88,-70.4,-84.05,-88.79,
1368,11112468,6604289,"NCGC",,Unspecified,,,"",2009/07/08,2,64,3.16228,Complete curve; partial efficacy,-5.5,1.4163,0.9952,-86.224,4.6874,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-79.77,2.782,4.536,,3.464,5.079,6.386,,6.482,-1.77,-7.717,-35,-54.67,-75.03,-79.77,
1369,11112467,667534,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.158489,Complete curve; high efficacy,-6.8,0.7,0.9885,-84.2918,8,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-81.91,7.708,4.303,,-7.173,-4.308,-16.32,,-41.97,-61.3,-66.18,-66.69,-72.48,-83.76,-81.91,
1370,11112456,4065,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.316228,Complete curve; high efficacy,-6.5,0.7,0.9939,-88.231,4.751,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-84.15,3.34,0.4768,,-1.962,-2.858,-16.69,,-29.87,-50.46,-61.85,-67.25,-74.48,-83.9,-84.15,
1371,11112441,5265,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1,Complete curve; high efficacy,-6,0.8,0.9858,-89.8555,4.0395,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-84.43,-0.2532,-0.923,,4.78,0.2016,3.767,,-15.13,-34.77,-42.88,-54.65,-64.42,-82.37,-84.43,
1372,11112431,2353,"NCGC",,Unspecified,,,"",2009/07/08,2,85,2.51189,Complete curve; high efficacy,-5.6,1,0.9896,-97.2291,5.7435,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-85.18,9.951,-1.829,,2.597,8.014,9.649,,-2.617,-12.55,-22.38,-44.95,-63.43,-80.88,-85.18,
1373,11112425,6604277,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.125893,Complete curve; high efficacy,-6.9,0.9,0.9923,-77.6048,1.7552,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-75.67,-1.893,1.638,,-2.218,-8.087,-20.67,,-48.77,-62.71,-62.94,-69.49,-73.32,-80.81,-75.67,
1374,11112417,6604272,"NCGC",,Unspecified,,,"",2009/07/08,2,89,0.316228,Complete curve; high efficacy,-6.5,0.9,0.9843,-91.1486,0.9686,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-91.4,0.3822,-8.433,,3.914,-1.696,-6.741,,-44.52,-52.37,-66.45,-73.91,-82,-88.63,-91.4,
1375,11112412,5456,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,2.5334,0.9714,-79.8223,1.7303,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-69.66,-8.657,0.8664,,2.377,4.619,2.246,,5.396,5.735,2.621,3.233,-7.146,-34.46,-69.66,
1376,11112411,4436,"NCGC",,Unspecified,,,"",2009/07/08,2,41,7.94328,Partial curve; partial efficacy,-5.1,3.132,0.9623,-64.9785,7,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-63.74,-2.305,2.225,,3.307,7.751,7.593,,5.893,9.588,8.517,16.07,-4.685,-48.16,-63.74,
1377,11112410,6843,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.99526,Complete curve; partial efficacy,-5.7,0.9,0.9863,-86.715,8.1805,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.48,10.91,7.777,,1.702,8.044,8.967,,-0.1883,-14.84,-30.44,-36.27,-56.5,-75.34,-75.48,
1378,11112409,3168,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1.6259,0.979,-83.2191,3.0991,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-80.1,1.751,-3.745,,4.334,0.4157,4.446,,2.815,7.918,-8.768,-33.7,-47.9,-78.97,-80.1,
1379,11112408,6604271,"NCGC",,Unspecified,,,"",2009/07/08,2,87,0.630957,Complete curve; high efficacy,-6.2,1,0.9872,-88.216,3.3582,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.93,3.403,-2.059,,1.8,-1.167,3.907,,-15.42,-38.89,-56.01,-60.18,-75.08,-82.68,-88.93,
1380,11112405,6604268,"NCGC",,Unspecified,,,"",2009/07/08,2,88,0.398107,Complete curve; high efficacy,-6.4,1.2221,0.9882,-84.9443,3.7948,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.14,-2.037,2.102,,3.302,3.144,5.305,,-21.79,-48.93,-60.23,-69.8,-79.11,-88.8,-88.14,
1381,11112403,3180,"NCGC",,Unspecified,,,"",2009/07/08,2,62,5.01187,Complete curve; partial efficacy,-5.3,1.9282,0.9739,-69.534,5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-67.92,1.119,-2.847,,10.14,1.263,11.88,,7.999,6.663,-0.2695,-11.31,-30.19,-60.19,-67.92,
1382,11112400,6604266,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.0630957,Complete curve; high efficacy,-7.2,0.7,0.9958,-87.942,9.834,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-86.29,3.964,4.481,,-7.341,-18.03,-35.7,,-60.51,-67.76,-74.48,-76.94,-82.17,-88.84,-86.29,
1383,11112389,443422,"NCGC",,Unspecified,,,"",2009/07/08,2,92,0.0630957,Complete curve; high efficacy,-7.2,0.9,0.9971,-90.0787,4.1107,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-90.76,2.253,0.2607,,-9.616,-16,-36.87,,-65.31,-77.4,-82.93,-82.31,-87.4,-91.64,-90.76,
1384,11112388,716128,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,2.0479,0.9645,-79.237,2.583,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-77.49,-8.258,-3.127,,6.289,5.853,5.442,,10.85,6.187,-6.88,-12.12,-33.69,-68.42,-77.49,
1385,11112386,6604024,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,0.9,0.9696,-87.36,2.0675,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-72.8,5.803,-0.1019,,1.728,5.85,0.3532,,0.0266,-10.83,-22.72,-24.3,-36.38,-67.53,-72.8,
1386,11112381,5280863,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,2.0437,0.9292,-73.244,5.931,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-65.62,0.5493,2.136,,5.078,-5.969,4.123,,8.737,13.21,15.76,5.465,-14.39,-34.35,-65.62,
1387,11112372,933131,"NCGC",,Unspecified,,,"",2009/07/08,2,66,1,Complete curve; partial efficacy,-6,0.9,0.9661,-82.412,3.7715,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-74.98,17.56,-4.788,,-3.778,-4.043,6.213,,-13.65,-23.59,-41.14,-52.99,-68.04,-77.01,-74.98,
1388,11112363,353825,"NCGC",,Unspecified,,,"",2009/07/08,2,85,1.58489,Complete curve; high efficacy,-5.8,1.01,0.9789,-88.1859,1.5153,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-84.7,1.402,-5.966,,-3.239,4.994,4.501,,-0.8657,-20.3,-41.28,-47.73,-67.32,-75.49,-84.7,
1389,11112356,5280442,"NCGC",,Unspecified,,,"",2009/07/08,2,41,12.5893,Partial curve; partial efficacy,-4.9,3.5722,0.9579,-71.759,4.5275,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-66.42,-4.498,2.359,,3.428,0.5239,3.973,,7.343,7.017,13.03,10.09,-0.099,-28.73,-66.42,
1390,11112326,21138,"NCGC",,Unspecified,,,"",2009/07/08,2,43,3.98107,Partial curve; partial efficacy,-5.4,0.9,0.9816,-84.858,1.116,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-74,1.37,1.308,,4.84,4.445,-4.828,,-7.226,-13.7,-19.89,-25.01,-42.93,-62.05,-74,
1391,11112325,21138,"NCGC",,Unspecified,,,"",2009/07/08,2,63,3.98107,Complete curve; partial efficacy,-5.4,1.4163,0.9669,-75.099,8,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-68.06,13.4,-1.664,,6.281,7.944,9.52,,11.24,7.861,-12.19,-14.96,-36.05,-64.7,-68.06,
1392,11112324,21138,"NCGC",,Unspecified,,,"",2009/07/08,2,42,7.94328,Partial curve; partial efficacy,-5.1,0.9,0.9328,-92.158,6.339,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-70.28,9.907,-0.1963,,4.836,5.614,10.7,,12.94,-16.2,-8.323,-14.57,-26.11,-51.07,-70.28,
1393,11112319,9918,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,1.9887,0.9642,-77.241,5.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.82,-1.382,-2.375,,1.518,7.831,8.658,,13.49,15.8,-1.61,-9.008,-41.58,-63.07,-75.82,
1394,11112313,4114,"NCGC",,Unspecified,,,"",2009/07/08,2,63,5.01187,Complete curve; partial efficacy,-5.3,1.7529,0.9862,-80.5545,6,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-78.54,9.733,0.321,,9.197,4.254,4.828,,12.75,3.572,2.569,-15.36,-37.41,-67.65,-78.54,
1395,11112305,2480,"NCGC",,Unspecified,,,"",2009/07/08,2,96,0.00630957,Complete curve; high efficacy,-8.2,0.9,0.9911,-90.8691,9.6971,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-94.31,3.719,-12.57,,-50.67,-59.82,-73.4,,-85.54,-87.11,-88.69,-87.49,-90.95,-94.03,-94.31,
1396,11112298,6604230,"NCGC",,Unspecified,,,"",2009/07/08,2,86,1.25893,Complete curve; high efficacy,-5.9,2.1211,0.99,-90.5074,1.5176,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.55,7.625,0.3804,,-7.347,-1.583,4.282,,2.028,-7.723,-32.24,-67.79,-82.76,-93.4,-93.55,
1397,11112294,1268140,"NCGC",,Unspecified,,,"",2009/07/08,2,91,0.0794328,Complete curve; high efficacy,-7.1,0.8,0.9955,-90.3829,2.5309,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-89.5,3.981,-3.687,,-14.05,-16.1,-33.64,,-62.5,-71.97,-80.14,-80.85,-86.02,-90.71,-89.5,
1398,11112291,12555,"NCGC",,Unspecified,,,"",2009/07/08,2,41,7.94328,Partial curve; partial efficacy,-5.1,2.4064,0.8653,-65.995,3.5025,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-61.25,-10.66,-6.1,,-3.545,2.208,-0.4542,,8.395,17.59,18.7,0.1125,-12.91,-45.86,-61.25,
1399,11112289,3103,"NCGC",,Unspecified,,,"",2009/07/08,2,42,6.30957,Partial curve; partial efficacy,-5.2,1.7137,0.9652,-76.7107,2.0653,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-70.23,0.8583,-4.39,,4.643,5.401,7.134,,-8.039,9.117,-3.568,-7.646,-31.14,-55.85,-70.23,
1400,11112286,6604030,"NCGC",,Unspecified,,,"",2009/07/08,2,90,0.158489,Complete curve; high efficacy,-6.8,1.3723,0.9953,-89.8833,4.5278,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-92.63,-0.3503,7.687,,6.908,-1.71,-8.533,,-51.78,-73.86,-80.52,-83.94,-88.13,-92.93,-92.63,
1401,11112284,688564,"NCGC",,Unspecified,,,"",2009/07/08,2,65,1.58489,Complete curve; partial efficacy,-5.8,0.8,0.9864,-86.2935,0.9735,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-78.6,1.665,1.384,,-1.923,-1.486,-2.057,,-8.565,-30.9,-37.35,-44.78,-60.08,-75.73,-78.6,
1402,11112282,31411,"NCGC",,Unspecified,,,"",2009/07/08,2,41,10,Partial curve; partial efficacy,-5,1.7885,0.9527,-72.9119,2.1561,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-61.02,-4.454,-5.384,,1.969,4.917,5.859,,4.222,5.783,1.05,3.655,-21.93,-37.89,-61.02,
1403,11112275,4621,"NCGC",,Unspecified,,,"",2009/07/08,2,84,3.16228,Complete curve; high efficacy,-5.5,1.5579,0.9728,-88.452,3.747,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-83.71,-10.06,-1.274,,3.724,9.419,7.337,,11.35,1.991,-12.02,-32,-60.35,-76.63,-83.71,
