AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
LIRYPHYGHXZJBZ-UHFFFAOYSA-N	Trametinib	CN1C(=O)C(=C2N(C(=O)N(C3CC3)C(=O)C2=C1Nc4ccc(I)cc4F)c5cccc(NC(=O)C)c5)C
LKYWLLWWYBVUPP-XOCLESOZSA-L	Euthroid	C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)[O-])N)I)I)O.C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)[O-])N.[Na+].[Na+]
LMEKQMALGUDUQG-UHFFFAOYSA-N	azathioprine	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
LMJSLTNSBFUCMU-MRVPVSSYSA-N	trichlormethiazide	ClC([C@@H]1Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N)Cl
LMJSLTNSBFUCMU-UHFFFAOYSA-N	trichlormethiazide	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
LNEPOXFFQSENCJ-UHFFFAOYSA-N	haloperidol	OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
LOBCDGHHHHGHFA-GFCCVEGCSA-N	monastrol	CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c2cccc(O)c2
LOBCDGHHHHGHFA-LBPRGKRZSA-N	monastrol	CCOC(=O)C1=C(C)NC(=S)N[C@H]1c2cccc(O)c2
LOBCDGHHHHGHFA-UHFFFAOYSA-N	monastrol	CCOC(=O)C1=C(C)NC(=S)NC1c2cccc(O)c2
LPEPZBJOKDYZAD-UHFFFAOYSA-N	flufenamic_acid	OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F
LQOLIRLGBULYKD-JKIFEVAISA-N	cloxacillin	Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O
LSLYOANBFKQKPT-UHFFFAOYSA-N	fenoterol	CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2
LSQZJLSUYDQPKJ-NJBDSQKTSA-N	amoxicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
LTXREWYXXSTFRX-QGZVFWFLSA-N	Linagliptin	CC#CCn1c(nc2N(C)C(=O)N(Cc3nc(C)c4ccccc4n3)C(=O)c12)N5CCC[C@@H](N)C5
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	resveratrol	Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1
LUKZNWIVRBCLON-FOMURGDPSA-N	Alvesco	CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6
LUMKNAVTFCDUIE-VHXPQNKSSA-N	Ospemifene	C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl
LWAFSWPYPHEXKX-UHFFFAOYSA-N	carteolol	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
LWQQLNNNIPYSNX-UROSTWAQSA-N	Calcipotriol	O[C@H]1C[C@H](O)C(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](/C=C/[C@H](C2CC2)O)C)C)/C1
LZCDAPDGXCYOEH-UHFFFAOYSA-N	ADAPALENE	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
LZNWYQJJBLGYLT-UHFFFAOYSA-N	tenoxicam	CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3
MCGSCOLBFJQGHM-SCZZXKLOSA-N	abacavir	OC[C@@H]1C=C[C@@H](C1)n1cnc2c1nc(N)nc2NC1CC1
MDKGKXOCJGEUJW-UHFFFAOYSA-N	suprofen	CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2
MECHNRXZTMCUDQ-RKHKHRCZSA-N	ergocalciferol	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
MEZLKOACVSPNER-GFCCVEGCSA-N	selegiline	C[C@H](Cc1ccccc1)N(C)CC#C
MEZLKOACVSPNER-UHFFFAOYSA-N	selegiline	CC(CC1=CC=CC=C1)N(C)CC#C
MFOCDFTXLCYLKU-UHFFFAOYSA-N	phendimetrazine	CC1C(OCCN1C)C2=CC=CC=C2
MJIHNNLFOKEZEW-UHFFFAOYSA-N	lansoprazole	Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c2nc3ccccc3[nH]2
MJVAVZPDRWSRRC-UHFFFAOYSA-N	trimipramine	CC1=CC(=O)c2ccccc2C1=O
MKJIEFSOBYUXJB-UHFFFAOYSA-N	TETRABENAZINE	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
MKXKFYHWDHIYRV-UHFFFAOYSA-N	flutamide	CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-]
MKXZASYAUGDDCJ-NJAFHUGGSA-N	dextromethorphan	COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1
MLDQJTXFUGDVEO-UHFFFAOYSA-N	Sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
MNIPYSSQXLZQLJ-UHFFFAOYSA-N	aceclofenac	OC(=O)COC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
MNJVRJDLRVPLFE-UHFFFAOYSA-N	Etoricoxib	Cc1ccc(cn1)c2ncc(Cl)cc2c3ccc(cc3)S(=O)(=O)C
MOYGZHXDRJNJEP-UHFFFAOYSA-N	Buclizine	CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
MOYKHGMNXAOIAT-JGWLITMVSA-N	ISOSORBIDE DINITRATE	C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
MPBVHIBUJCELCL-UHFFFAOYSA-N	Ibandronic Acid	CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
MQOBSOSZFYZQOK-UHFFFAOYSA-N	fenofibrate	CC(C)(Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2)C(=O)O
MRBDMNSDAVCSSF-UHFFFAOYSA-N	phentolamine	Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3
MRBDMNSDAVCSSF-UHFFFAOYSA-O	phentolamine	Cc1ccc(cc1)N(c1cccc(c1)O)CC1=[NH+]CCN1
MRPKNNSABYPGBF-LSCFUAHRSA-N	6-benzylaminopurine	OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCc1ccccc1
MSTNYGQPCMXVAQ-KIYNQFGBSA-N	tetrahydrofolic acid	C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
MSWZFWKMSRAUBD-IVMDWMLBSA-N	D-Glucosamine	C(C1C(C(C(C(O1)O)N)O)O)O
MUTNCGKQJGXKEM-UHFFFAOYSA-N	Tamibarotene	CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C
MVWVFYHBGMAFLY-UHFFFAOYSA-N	Ziprasidone	Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45
MWLSOWXNZPKENC-UHFFFAOYSA-N	ZILEUTON	CC(N(O)C(=O)N)c1cc2ccccc2s1
MWQCHHACWWAQLJ-UHFFFAOYSA-N	prazepam	C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4
MWTBKTRZPHJQLH-UHFFFAOYSA-N	Alcaftadine	CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1
MXXWOMGUGJBKIW-YPCIICBESA-N	piperine	O=C(\C=C\C=C\c1ccc2OCOc2c1)N3CCCCC3
MYWUZJCMWCOHBA-VIFPVBQESA-N	METHAMPHETAMINE	CC(CC1=CC=CC=C1)NC
NAVMQTYZDKMPEU-UHFFFAOYSA-N	Bexarotene	CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
NCDNCNXCDXHOMX-XGKFQTDJSA-N	ritonavir	CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4
NCEXYHBECQHGNR-QZQOTICOSA-N	Sulfasalazine	OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3
OFVLGDICTFRJMM-WESIUVDSSA-N	Tetracycline	CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O
QZUDBNBUXVUHMW-UHFFFAOYSA-N	Clozapine	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
RKUNBYITZUJHSG-SPUOUPEWSA-N	Atropine	CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
WDQPAMHFFCXSNU-BGABXYSRSA-N	Clofazimine	CC(C)\N=C\1/C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5
